gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
NDUFB10,-0.271992447201982,7.79447233976403,-4.58521719713987,7.08376288560908e-06,1.55639769985643e-05,2.57073722289961
KRT7,0.475125475926493,9.22696937379151,4.58495104368194,7.09210767227779e-06,1.55810210464503e-05,2.56960803077161
AL356321.1,-0.193232528083044,0.139529031492959,-4.5846393253141,7.1018930924288e-06,1.56012270119889e-05,2.56828559405084
GLT8D2,-0.788421881467672,3.35699148061632,-4.58425999826589,7.11381839465203e-06,1.56261300709291e-05,2.56667643658384
UBE2D4,-0.203528016932045,3.46901972783515,-4.58408590218753,7.11929808270315e-06,1.5636871817652e-05,2.56593793492053
MYL12BP2,-0.204929393648273,0.464659814308222,-4.58337630122548,7.14167486168461e-06,1.56847215914097e-05,2.56292811049545
MAT2A,0.620450366711131,6.81434590211833,4.58259266034375,7.16646505069185e-06,1.57368146468831e-05,2.55960469977914
ISLR,0.700603248530526,7.61546216811148,4.582589009146,7.16658074848632e-06,1.57368146468831e-05,2.55958921622598
AL161663.2,0.230829699068466,0.503115364295314,4.58212060741263,7.18143819793148e-06,1.57681342304718e-05,2.55760296223256
CEP290,0.291605167424245,1.91884603806418,4.58058668921388,7.23030092587835e-06,1.58741071312572e-05,2.55109959989716
RGMB,0.315121330929916,2.82797448937516,4.58029848491976,7.23951724737778e-06,1.58930261113915e-05,2.54987790463562
FASN,0.394643640959167,4.57596713861526,4.57941039479666,7.2679880921785e-06,1.5954208220219e-05,2.54611370935921
RNU7-171P,0.522819961456672,1.91178621682691,4.57906029934133,7.27924120080967e-06,1.5977588092071e-05,2.54462999007028
NOP2,0.134684424187521,0.338222733519976,4.57893347952112,7.2833217003148e-06,1.59846706295057e-05,2.54409254608738
IRAK1BP1,0.311019039244748,2.4416839392032,4.57892255993442,7.28367314705705e-06,1.59846706295057e-05,2.54404627105537
H4C8,-0.7106739562845,3.17145136261817,-4.57847482601422,7.29809751172008e-06,1.60150012074691e-05,2.54214894460915
RNF113A,0.233495802355023,5.24825439604743,4.57841584673788,7.29999965716334e-06,1.60178501866089e-05,2.54189902455766
CRACR2B,0.486346310333155,2.86959531866,4.5772538770074,7.33757182431768e-06,1.60989603152896e-05,2.53697582642493
RUNX3,0.575823406505751,1.76719463407597,4.57678556292593,7.35276723947905e-06,1.61309654945349e-05,2.53499190686866
ATP1A2,0.463430832005733,1.22902632882201,4.57569356366485,7.38831706737902e-06,1.62076164843943e-05,2.53036653844098
PRAM1,0.343148914622365,1.69843523274387,4.57556903696185,7.39238149569042e-06,1.62151915616211e-05,2.52983914167563
NSMCE1-DT,-0.183570889398359,0.663126910937794,-4.57530303131154,7.40107086143922e-06,1.62321817876857e-05,2.52871259264861
AC138956.2,0.444535036645632,1.5260414338075,4.57528431617992,7.40168258145845e-06,1.62321817876857e-05,2.52863333509787
EEF1E1,0.254065758492169,3.01078279799324,4.57527573705279,7.401963013792e-06,1.62321817876857e-05,2.52859700305942
AC111152.2,-0.270372750220378,0.461966901409438,-4.57489835264478,7.41430897655951e-06,1.62579118717217e-05,2.52699886218233
SUGP1,0.265471945133569,4.4880144489027,4.5748449097837,7.41605893612412e-06,1.62604049710389e-05,2.52677255233907
AC090061.1,-0.147396769881971,0.605709119083046,-4.57455234002638,7.42564602785922e-06,1.62800798855272e-05,2.52553367237546
ELMOD2,0.311701489683085,4.16121914106375,4.57395032002101,7.44541087473457e-06,1.6322063542414e-05,2.52298464405085
STAC3,0.339576761758721,2.53652359263073,4.57328209589326,7.46740851088233e-06,1.63689346466957e-05,2.5201556327573
IDO2,-0.186241129394165,0.257711677106664,-4.57230773736411,7.49959601086258e-06,1.64381328527633e-05,2.5160311918562
MAPKBP1,0.409290632740907,3.03556310613372,4.57065146178488,7.55461676470562e-06,1.65573629926945e-05,2.50902192196287
MARK1,0.277098134484097,1.69547933567567,4.57021474234895,7.56918894601319e-06,1.65879301042586e-05,2.50717410795963
